lId,iReport,sName,sUnit,sEquation,sDescription,sRemark,-1,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,v00-v01,v00-v02,v00-v03
0,0,_sMixDepthW0_,_m_,-,Mixing_depth,-,-1,_sMixDepthW0_ = _IF_ (_InitDepth_ _EQ_ _TRUE_) _THEN_ _mMixDepth_ _ELSE_  _cMixDepthW0_ _ENDIF_ ,_sMixDepthW0_ = _IF_ (_InitDepth_ _EQ_ _TRUE_) _THEN_ _mMixDepth_ _ELSE_  _cMixDepthW0_ _ENDIF_ ,_sMixDepthW0_ = _IF_ (_InitDepth_ _EQ_ _TRUE_) _THEN_ _mMixDepth_ _ELSE_  _cMixDepthW0_ _ENDIF_ ,_sMixDepthW0_ = _IF_ (_InitDepth_ _EQ_ _TRUE_) _THEN_ _mMixDepth_ _ELSE_  _cMixDepthW0_ _ENDIF_ ,TRUE,TRUE,TRUE
1,0,_aInclStrat0_,_m_,-,Presence_of_stratification,-,-1,_aInclStrat0_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ _OR_ _sMixDepthW0_ _GT_ _cDepthWInit0_ - _cMinDepthHypEpi_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_,_aInclStrat0_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ _OR_ _sMixDepthW0_ _GT_ _cDepthWInit0_ - _cMinDepthHypEpi_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_,_aInclStrat0_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ _OR_ _sMixDepthW0_ _GT_ _cDepthWInit0_ - _cMinDepthHypEpi_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_,_aInclStrat0_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ _OR_ _sMixDepthW0_ _GT_ _cDepthWInit0_ - _cMinDepthHypEpi_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_,TRUE,TRUE,TRUE
2,0,_sDepthW0_,_m_,-,Total_Depth_of_lake_water,-,-1,_sDepthW0_ = _IF_ (_InitDepth_ _EQ_ _TRUE_) _THEN_ _cDepthWInit0_ _ELSE_  _cDepthW0_ _ENDIF_ ,_sDepthW0_ = _IF_ (_InitDepth_ _EQ_ _TRUE_) _THEN_ _cDepthWInit0_ _ELSE_  _cDepthW0_ _ENDIF_ ,_sDepthW0_ = _IF_ (_InitDepth_ _EQ_ _TRUE_) _THEN_ _cDepthWInit0_ _ELSE_  _cDepthW0_ _ENDIF_ ,_sDepthW0_ = _IF_ (_InitDepth_ _EQ_ _TRUE_) _THEN_ _cDepthWInit0_ _ELSE_  _cDepthW0_ _ENDIF_ ,TRUE,TRUE,TRUE
3,0,_MassHyp0_,_m_,-,Conversion_factor_from_concentration_to_mass,-,-1,_MassHyp0_ = _IF_ ( _CalcMass_ _EQ_ _TRUE_  _AND_ _aInclStrat0_ _EQ_ _TRUE_ ) _THEN_ _sDepthW0_ - _sMixDepthW0_ _ELSE_ _cMinDepthHypEpi_ _ENDIF_ ,_MassHyp0_ = _IF_ ( _CalcMass_ _EQ_ _TRUE_  _AND_ _aInclStrat0_ _EQ_ _TRUE_ ) _THEN_ _sDepthW0_ - _sMixDepthW0_ _ELSE_ _cMinDepthHypEpi_ _ENDIF_ ,_MassHyp0_ = _IF_ ( _CalcMass_ _EQ_ _TRUE_  _AND_ _aInclStrat0_ _EQ_ _TRUE_ ) _THEN_ _sDepthW0_ - _sMixDepthW0_ _ELSE_ _cMinDepthHypEpi_ _ENDIF_ ,_MassHyp0_ = _IF_ ( _CalcMass_ _EQ_ _TRUE_  _AND_ _aInclStrat0_ _EQ_ _TRUE_ ) _THEN_ _sDepthW0_ - _sMixDepthW0_ _ELSE_ _cMinDepthHypEpi_ _ENDIF_ ,TRUE,TRUE,TRUE
4,0,_sNH4WHyp0_,_gN_*_m_^-2,-,N_in_NH4_in_hypolimnion_lake_water,-,-1,_sNH4WHyp0_ = _cNH4WHyp0_ *_MassHyp0_,_sNH4WHyp0_ = _cNH4WHyp0_ *_MassHyp0_,_sNH4WHyp0_ = _cNH4WHyp0_ *_MassHyp0_,_sNH4WHyp0_ = _cNH4WHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
5,0,_sNO3WHyp0_,_gN_*_m_^-2,-,N_in_NO3_in_hypolimnion_lake_water,-,-1,_sNO3WHyp0_ = _cNO3WHyp0_ *_MassHyp0_,_sNO3WHyp0_ = _cNO3WHyp0_ *_MassHyp0_,_sNO3WHyp0_ = _cNO3WHyp0_ *_MassHyp0_,_sNO3WHyp0_ = _cNO3WHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
6,0,_sPO4WHyp0_,_gP_*_m_^-2,-,P_in_PO4_in_hypolimnion_lake_water,-,-1,_sPO4WHyp0_ = _cPO4WHyp0_ *_MassHyp0_,_sPO4WHyp0_ = _cPO4WHyp0_ *_MassHyp0_,_sPO4WHyp0_ = _cPO4WHyp0_ *_MassHyp0_,_sPO4WHyp0_ = _cPO4WHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
7,0,_sPAIMWHyp0_,_gP_*_m_^-2,-,P_adsorbed_onto_IM_in_hypolimnion_lake_water,-,-1,_sPAIMWHyp0_ = _cPAIMWHyp0_ *_MassHyp0_,_sPAIMWHyp0_ = _cPAIMWHyp0_ *_MassHyp0_,_sPAIMWHyp0_ = _cPAIMWHyp0_ *_MassHyp0_,_sPAIMWHyp0_ = _cPAIMWHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
8,0,_sSiO2WHyp0_,_gSi_*_m_^-2,-,Dissolved_Si_in_hypolimnion_lake_water,-,-1,_sSiO2WHyp0_ = _cSiO2WHyp0_ *_MassHyp0_,_sSiO2WHyp0_ = _cSiO2WHyp0_ *_MassHyp0_,_sSiO2WHyp0_ = _cSiO2WHyp0_ *_MassHyp0_,_sSiO2WHyp0_ = _cSiO2WHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
9,0,_sO2WHyp0_,_gO2_*_m_^-2,-,Oxygen_in_hypolimnion_lake_water,-,-1,_sO2WHyp0_ = _cO2WHyp0_ *_MassHyp0_,_sO2WHyp0_ = _cO2WHyp0_ *_MassHyp0_,_sO2WHyp0_ = _cO2WHyp0_ *_MassHyp0_,_sO2WHyp0_ = _cO2WHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
10,0,_sDDetWHyp0_,_gDW_*_m_^-2,-,Detritus_DW_in_hypolimnion_lake_water,-,-1,_sDDetWHyp0_ = _cDDetWHyp0_ *_MassHyp0_,_sDDetWHyp0_ = _cDDetWHyp0_ *_MassHyp0_,_sDDetWHyp0_ = _cDDetWHyp0_ *_MassHyp0_,_sDDetWHyp0_ = _cDDetWHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
11,0,_sNDetWHyp0_,_gN_*_m_^-2,-,Detritus_N_in_hypolimnion_lake_water,-,-1,_sNDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWHyp0_ _ELSE_ _cNDetWHyp0_ *_MassHyp0_ _ENDIF_,_sNDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWHyp0_ _ELSE_ _cNDetWHyp0_ *_MassHyp0_ _ENDIF_,_sNDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWHyp0_ _ELSE_ _cNDetWHyp0_ *_MassHyp0_ _ENDIF_,_sNDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWHyp0_ _ELSE_ _cNDetWHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
